NO	CPA1	CPA2	CPA3	CPA4	RA1	RA2	RA3	RA4	RA5	CPL1	CPL2	CPL3	TRI1	TRI2	TRI3	OBS1	OBS2	OBS3	ATT1	ATT2	ATT3	INT1	INT2	INT3	INT4	SEX	AGE	EDUC	INCOME	STATUS
80	Agree	Agree	More or less agree	Agree	More or less agree	Agree	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Agree	Agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Male	23-25 years old	College diploma	< 10,000,000 VND	Single
81	Neutral	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Agree	Agree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	More or less agree	More or less agree	More or less agree	Agree	Female	23-25 years old	College diploma	< 10,000,000 VND	Single
82	Neutral	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
83	More or less agree	More or less agree	Agree	Agree	Agree	More or less agree	Agree	Agree	More or less agree	More or less disagree	Disagree	Disagree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	High school or lesser	< 10,000,000 VND	Single
84	Neutral	Agree	Agree	More or less agree	Agree	More or less agree	More or less agree	Agree	Agree	Disagree	Disagree	Disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
85	Agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Agree	Agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Agree	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Female	23-25 years old	College diploma	< 10,000,000 VND	Single
86	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	Disagree	Neutral	More or less disagree	Neutral	More or less agree	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Male	23-25 years old	College diploma	< 10,000,000 VND	Single
87	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	Agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	Agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Female	19-22 years old	Professional certificate	< 10,000,000 VND	Single
88	More or less agree	Agree	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	College diploma	< 10,000,000 VND	Single
89	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	Neutral	More or less agree	Agree	Neutral	Neutral	More or less disagree	Agree	Agree	Agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Agree	More or less agree	More or less agree	Agree	Male	23-25 years old	College diploma	< 10,000,000 VND	Single
90	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Male	19-22 years old	University undergraduate degree	> 40,000,000 VND	Married
91	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	Neutral	More or less agree	Agree	Neutral	Neutral	Neutral	Agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	Agree	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Single
92	Agree	Agree	Agree	Agree	Agree	More or less agree	Neutral	More or less agree	Agree	Disagree	Neutral	More or less disagree	More or less agree	Agree	Agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Male	23-25 years old	College diploma	< 10,000,000 VND	Single
93	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Neutral	Neutral	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
94	Totally agree	Totally agree	More or less agree	Neutral	Totally agree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Male	23-25 years old	College diploma	< 10,000,000 VND	Single
95	More or less agree	Totally agree	Totally agree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
96	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Totally agree	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
97	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Totally agree	Neutral	More or less agree	Disagree	Neutral	More or less disagree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less disagree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
98	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
99	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Totally agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
100	More or less agree	Totally agree	Neutral	Neutral	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Married
101	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Totally agree	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
102	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Totally agree	More or less agree	Neutral	Neutral	Disagree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Male	19-22 years old	Professional certificate	< 10,000,000 VND	Single
103	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
104	Neutral	More or less agree	More or less agree	More or less disagree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Totally agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
105	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
106	More or less agree	More or less agree	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	More or less disagree	Neutral	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
107	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
108	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
109	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
110	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Totally agree	Totally agree	Totally agree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
111	More or less disagree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	More or less disagree	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	More or less disagree	Disagree	Neutral	More or less disagree	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
112	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
113	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
114	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	Neutral	Agree	Agree	Agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
115	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Totally agree	More or less disagree	Totally agree	Disagree	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
116	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Totally agree	Totally agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Single
117	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
118	More or less agree	More or less disagree	Neutral	More or less agree	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	Disagree	More or less disagree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
119	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	Neutral	Totally agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
120	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Agree	Agree	Agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
121	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Disagree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
122	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	Disagree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
123	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Totally agree	Totally agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
124	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Totally agree	Neutral	More or less agree	Female	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
125	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Neutral	Neutral	Neutral	More or less disagree	More or less agree	Neutral	Agree	More or less agree	More or less agree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Male	23-25 years old	Postgraduate degree	> 40,000,000 VND	Married
126	Totally agree	Totally agree	More or less agree	More or less agree	Totally agree	More or less agree	Totally agree	Totally agree	More or less agree	Neutral	Neutral	Neutral	Totally agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less agree	Male	19-22 years old	Professional certificate	< 10,000,000 VND	Single
127	Neutral	More or less agree	Neutral	Neutral	More or less disagree	Disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Male	23-25 years old	Postgraduate degree	> 40,000,000 VND	Married
128	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Totally agree	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	Totally agree	Totally agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
129	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally disagree	Totally disagree	Totally disagree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
130	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	Disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
131	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
132	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	Totally disagree	Disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Male	23-25 years old	Professional certificate	< 10,000,000 VND	Single
133	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Disagree	More or less disagree	Disagree	Neutral	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
134	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	Disagree	Neutral	Neutral	More or less disagree	Totally agree	Totally agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
135	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
136	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Single
137	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less disagree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
138	Neutral	More or less disagree	More or less disagree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less disagree	More or less disagree	Disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
139	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	More or less disagree	Totally disagree	Neutral	Neutral	More or less agree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Male	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
140	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Disagree	Disagree	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
141	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Totally agree	Neutral	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
142	Neutral	Neutral	More or less disagree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	Neutral	Disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Totally agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
143	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Male	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
144	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	Totally agree	Male	23-25 years old	High school or lesser	10,000,000 VND - 20,000,000 VND	Married
145	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	23-25 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
146	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
147	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Totally disagree	Totally disagree	Totally disagree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	More or less agree	More or less agree	Male	23-25 years old	College diploma	< 10,000,000 VND	Single
148	More or less disagree	More or less disagree	Neutral	More or less disagree	More or less disagree	Neutral	Disagree	More or less disagree	More or less disagree	More or less disagree	Disagree	Disagree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less disagree	Neutral	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
149	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Totally disagree	Totally disagree	Totally disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less disagree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
150	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
151	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Totally agree	Totally agree	Female	23-25 years old	College diploma	< 10,000,000 VND	Married
152	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
153	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Agree	Agree	More or less disagree	More or less agree	Totally agree	Totally agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	> 40,000,000 VND	Single
154	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	Disagree	More or less disagree	Disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
155	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Totally agree	Male	19-22 years old	Professional certificate	< 10,000,000 VND	Single
156	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	Neutral	Disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
